Technique,Difficulty_Level,Difficulty_Label,Average_Performance,Std_Error,N_Samples,Min_Performance,Max_Performance,Std_Dev
Baseline,Easy,"Short Output, Low Dispersion",69.32291666666666,5.327302209329323,32,1.0,100.0,30.13577214117473
Baseline,Medium,"Short Output, High Dispersion",37.91709666052992,4.676221970562505,48,0.0289316040506597,92.6,32.397816161936454
Baseline,Hard,"Long Output, High Dispersion",28.844412220570426,4.490623487987784,19,2.0,64.0,19.574173977628888
NF4,Easy,"Short Output, Low Dispersion",71.04838709677418,5.024659582068646,31,4.0,100.0,27.9761205563942
NF4,Medium,"Short Output, High Dispersion",36.07341545028759,4.628495863250584,49,0.0231040564373897,91.4,32.39947104275409
NF4,Hard,"Long Output, High Dispersion",28.065031062664033,4.278089314275325,18,2.0,64.0,18.150395787874736
Int8,Easy,"Short Output, Low Dispersion",71.33870967741936,5.022723060820395,31,7.000000000000001,100.0,27.96533846240032
Int8,Medium,"Short Output, High Dispersion",37.17069050562329,4.659843788180704,49,0.0393208577302795,92.4,32.61890651726493
Int8,Hard,"Long Output, High Dispersion",28.9908458891306,4.190162291962408,19,0.1113320079522862,60.0,18.26449398769891
SnapKV,Easy,"Short Output, Low Dispersion",56.71505376344086,3.57212578992391,62,5.0,100.0,28.12694659682153
SnapKV,Medium,"Short Output, High Dispersion",33.338154623950125,3.4882032228484894,91,0.0247268005854367,91.2,33.27533796784104
SnapKV,Hard,"Long Output, High Dispersion",20.921659862393966,3.290566364497223,35,0.0317460317460317,64.0,19.467253143949623
PyramidKV,Easy,"Short Output, Low Dispersion",53.597883597883595,3.6322741067177273,63,1.0,100.0,28.830281939983177
PyramidKV,Medium,"Short Output, High Dispersion",31.72678974476441,3.361490441528822,90,0.0141570304010932,88.6,31.889898384348406
PyramidKV,Hard,"Long Output, High Dispersion",19.773137352196006,3.3288507527457964,35,0.0263157894736842,64.0,19.693746639275346
StreamingLLM,Easy,"Short Output, Low Dispersion",35.67741935483871,4.278463861687148,31,5.333333333333334,100.0,23.821478616757815
StreamingLLM,Medium,"Short Output, High Dispersion",28.611499162242083,5.659111322104393,36,0.1747964334792989,83.2,33.95466793262636
StreamingLLM,Hard,"Long Output, High Dispersion",20.38112758888983,4.273161426428265,19,0.0816326530612245,64.0,18.626278827236924
DuoAttention,Easy,"Short Output, Low Dispersion",82.23333333333335,5.080328281689624,15,52.66666666666666,100.0,19.676026828250457
DuoAttention,Medium,"Short Output, High Dispersion",41.48195238222202,6.781046525655251,22,1.9507936507936503,91.4,31.8059274920293
DuoAttention,Hard,"Long Output, High Dispersion",29.497350385194988,5.605516589108982,8,2.0,54.0,15.85479516885059
